	summarized	lineages	abundances	resid	coverage
SRR26408156.variants.tsv	[('Omicron', 0.9111892976654588), ('Other', 0.0866389730763009), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0004140789145946662)]	BA.5.1.28 BE.1.1 BQ.1.1.11 BQ.1.1.25 BQ.1.1.46 BA.2.75-like(2) BQ.1.31 BQ.1.1 CB.1 BA.2.73 BE.1.1.1 BY.1.1 BN.1.1 BQ.1.9 BA.5 BQ.1.1.37 BQ.1.1.29 BA.5.1.17 BN.1.4 BN.1.4.4 BQ.1.1.52 XAS BQ.1.1.50 BQ.1.1.34 BQ.1.1.77 BA.2.11 ED.2 XAN BQ.1.10 BQ.1.1.64 BQ.1.11 BA.2.17 BQ.1.1.2 BM.1.1.5 BQ.1.1.27 BQ.1.1.48 BA.5.1.3 BQ.1.6 BQ.1.1.40 BM.2.1 BQ.1.2.1 BQ.1.13.1 BQ.1.15.2 BQ.1.1.69 CH.1.1.28 BA.5.1.22 BQ.1.1.19 BL.1.1 BQ.1.1.22 BQ.1.1.59 CH.1.1.24 BQ.1.13 BA.2.3.21 BQ.1.1.60 BL.1.2 BR.2 BM.2.2 BQ.1.17 BQ.1.1.35 BA.2.68 BQ.1.12 B.1.604 ED.3 BQ.1.1.12 EF.2 BA.5.1.1 FR.1.4 BA.5.1.23 XAP BA.2.82 XBU BQ.1.1.23 CA.7 BA.5.3.5 BA.2.2.1 BQ.1.1.42 BQ.1.1.75 BQ.1.1.68 BL.1.3 BA.5.1.38 BQ.1.1.62 BA.5.1.36	0.14824773 0.14142765 0.12372504 0.12098937 0.10882420 0.08647453 0.05071698 0.04900233 0.04791414 0.03081610 0.02428754 0.01712015 0.01624820 0.00764975 0.00513102 0.00151515 0.00130548 0.00072820 0.00069411 0.00069093 0.00064213 0.00061237 0.00054945 0.00046899 0.00046613 0.00041823 0.00041408 0.00039170 0.00037793 0.00035423 0.00035354 0.00033693 0.00032446 0.00032072 0.00032020 0.00027510 0.00027360 0.00027130 0.00026476 0.00025543 0.00025410 0.00024608 0.00023421 0.00022416 0.00022168 0.00022124 0.00022073 0.00020982 0.00020075 0.00019614 0.00019240 0.00018839 0.00018768 0.00018220 0.00018018 0.00017326 0.00017316 0.00016752 0.00016731 0.00016581 0.00016559 0.00016445 0.00016013 0.00015977 0.00015382 0.00014637 0.00014603 0.00014590 0.00014100 0.00014013 0.00013959 0.00013879 0.00013759 0.00013398 0.00013355 0.00013249 0.00013072 0.00011785 0.00011767 0.00011349 0.00011206 0.00010470	9.026591023222219	95.93017423001037
SRR26071780.variants.tsv	[('Other', 0.8235289999619941), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.1764710000000244)]	Misc(7) XBB.1.16 EG.4-like EG.5.1.1-like XBB.2.3.3-like XBB.1-like(1) XBB.1.5-like GJ.1.2-like	0.60704390 0.17647100 0.06687900 0.05270460 0.03161030 0.02913600 0.02380950 0.01234570	0.4707968231652616	30.01036685282413
SRR26162991.variants.tsv	[('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.4824532177688339), ('Other', 0.43535152025634377), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.07487103905762924), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.003260678870286103), ('XBB* (XBB.X)', 0.0012081759958251464)]	EG.5.2 XBB.1.16-like XBB.1.16 FL.4.8 XBB.1.9.1-like EG.5 FL.30 XBB.1.16.10 XBB.1.5.19 XBB.1.5.78 FH.1 XBB.1.44.1 XBB.1.5.81 HK.6 XBB.1.18.1 FL.29 XBB.1.16.15 XBB.1.16.5 FL.26 XBB.1.5.50 HQ.1 XBB.1.5.83 XBB.1.5.60 FL.3.1 XBB.1.27 FL.10 EG.6 FL.2.3.1 XBB.1.16.14 XBB.1.5.9 XBB.1.5.57 FL.4.2 FT.1 XBB.1.41.2 XBB.1.12 FL.5 FU.5 GY.6 XBB.1.16.8 FL.4.10 EG.5.1.7 FL.16 EG.1.2 EG.5.2.2 XBB.1.16.16 FU.2 HR.1 XBB.1.5.49 JC.1 XBB.1.5.89 HT.1 JB.2.1	0.42743338 0.40704798 0.07294000 0.03512567 0.02830354 0.01575607 0.00159953 0.00056366 0.00041271 0.00032900 0.00032041 0.00030926 0.00030855 0.00029988 0.00028906 0.00028821 0.00028271 0.00024410 0.00023901 0.00023341 0.00021146 0.00020268 0.00020137 0.00019650 0.00019291 0.00018793 0.00018776 0.00018761 0.00018699 0.00017455 0.00017158 0.00017065 0.00016589 0.00015581 0.00015429 0.00015126 0.00014244 0.00014006 0.00013639 0.00013310 0.00012806 0.00012475 0.00012472 0.00011913 0.00011908 0.00011560 0.00011392 0.00010938 0.00010683 0.00010319 0.00010208 0.00010050	8.719346851173993	74.51760692907067
SRR23882261.variants.tsv	[('Other', 0.9774199799944254), ('Omicron', 0.022580019994430267)]	B.1.1.529-like BE.1.1-like BN.1.3-like XCE BQ.1-like BA.5.2.9 B.1.151 B.1.84 BQ.1.13-like XAK B.1.550 BA.2.26 BQ.1.2.2 XBR	0.65692856 0.16168788 0.11475400 0.01242240 0.00954258 0.00719424 0.00617284 0.00600962 0.00555556 0.00487805 0.00434654 0.00408163 0.00377358 0.00265252	1.3136673191572297	33.926361903487944
SRR26127684.variants.tsv	[('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.7033064830355077), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.16179511334618454), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.13054221221286447), ('XBB* (XBB.X)', 0.0019232875737333025), ('Other', 0.000977282918134167), ('XBB.2.3* [Omicron (XBB.2.3.X)]', 0.00029089899553759024)]	HN.1 EG.2 FL.1.5.1 XBB.1.5.28 XBB.1.16 XBB.1.16.19 XBB.1.16.10 XCF FP.3 HS.1 XBB.1.41.1 XBB.1.44.1 XBB.1.5.45 XBB.1.9.7 EG.5.1.6 XBB.1.16.5 EK.2.1 GY.1 XBB.1.16.16 XBB.1.16.8 XBB.1.16.15 EG.2.5 XBB.1.5.81 XBB.1.3 XBB.1.5.27 GS.4 XCJ XBB.1.5.50 GK.1.1 HK.11 HR.1 XBB.1.5.43 JE.1 GY.8 XBB.3.2	0.26197000 0.22739246 0.21278759 0.15939382 0.12560665 0.00200401 0.00136162 0.00081566 0.00061501 0.00060478 0.00049188 0.00046542 0.00042992 0.00039040 0.00038314 0.00035919 0.00035486 0.00030377 0.00027572 0.00026837 0.00024096 0.00024050 0.00023574 0.00023322 0.00021155 0.00016703 0.00016162 0.00014999 0.00014977 0.00014240 0.00014041 0.00012427 0.00012387 0.00012192 0.00011776	11.975431297282032	94.41527605925828
SRR26054281.variants.tsv	[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.48041682927937485), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.24737115619871664), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.16874874132661574), ('XBB.2.3* [Omicron (XBB.2.3.X)]', 0.05526838288735986), ('XBB* (XBB.X)', 0.04378888172391726), ('Other', 0.0004263620334283014)]	XBB.1.16.1 EG.2 XBB.1.16.12 XBB.1.16.6 EG.5.1 XBB.1.5.26 JF.1 XBB.1.5.66 GJ.1.2 XBB.1.5.28 XBB.1.42.1 JE.1 FY.5 XBB.1.16.10 XBB.1.5.54 HS.1 XBB.1.5.55 HZ.1 FP.3 XBB.1.5.67 FU.4 FY.6 FL.10.1 HR.1 EG.6 XBB.1.5.50 FD.2 EK.2.1 JF.2 XBB.2.3.8 XCD FL.21.1 GS.4 EG.5.1.7 JK.1 XBV GN.4 GY.7 GU.1 FD.2.1 FL.8 XBB.1.44.1 GS.1 XCM GZ.1 HU.2 XBB.1.5.85 FL.23 FL.3.1	0.18849020 0.15619300 0.13530675 0.09090394 0.09000850 0.06724184 0.06412965 0.05537270 0.04217957 0.04166440 0.03421799 0.01252563 0.00858734 0.00088185 0.00073058 0.00059076 0.00057851 0.00057528 0.00048571 0.00038993 0.00036478 0.00026995 0.00026913 0.00024650 0.00024183 0.00023739 0.00023095 0.00021029 0.00019785 0.00017148 0.00017076 0.00016826 0.00016759 0.00015632 0.00015349 0.00014367 0.00014340 0.00014182 0.00014067 0.00013507 0.00012280 0.00012010 0.00011431 0.00011193 0.00010980 0.00010779 0.00010699 0.00010658 0.00010474	10.657417848460682	94.58248336287329
SRR25926343.variants.tsv	[('Other', 0.3863266708483549), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.2692910053751103), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.2253669345439253), ('XBB* (XBB.X)', 0.0711551229560757), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.04311789904079145)]	FL.1-like XBB.1.16.6 FL.1.5 XBB.2.4 JF.1 HV.1 XBB.1.5 EG.5.1.4 XBB.1.9.2 EG.5 XBB.1.11.1 EG.5.1.3 EG.10 XBB.1.5.95 XBB.1.5.67 XBB.1.5.55 XBB.1.44.1 XBB.1.5.50 FL.10 EG.9 XBB.1.5.92 EG.6 FL.27 HQ.1 FL.2.3.1 XBB.1.5.1 FL.23 HN.1 EG.7 XBB.1.18.1 XBB.2.8 GA.3 JG.1 HK.6 XBB.1.45.1 XBB.1.43.1 XBB.1.16.15 FU.5 EG.10.1 EG.9.1 XBB.1.5.64 XBB.1.21 HA.2 FL.5 XBB.1.22.2 FD.1 HP.1 XBB.2.9 XBB.7 XBB.1.5.82 XBB.1.5.47-like FL.23.1 XCF.1 XBB.1.13.1 XBB.1.5.44 FY.4.1.1 GA.5	0.38610461 0.16142422 0.13291565 0.06655786 0.06360794 0.06073910 0.03849804 0.03116400 0.02857561 0.00913330 0.00210531 0.00154955 0.00148406 0.00113326 0.00064046 0.00054954 0.00054083 0.00049586 0.00046697 0.00046595 0.00039886 0.00037049 0.00034439 0.00033324 0.00030708 0.00030037 0.00028844 0.00025935 0.00025901 0.00025807 0.00025270 0.00024942 0.00021718 0.00019135 0.00018185 0.00017618 0.00017068 0.00016410 0.00015909 0.00015540 0.00014679 0.00014303 0.00014174 0.00013525 0.00013223 0.00012847 0.00012510 0.00012392 0.00012125 0.00012037 0.00011358 0.00010977 0.00010848 0.00010797 0.00010581 0.00010409 0.00010041	11.281863277734425	96.63913319733805
SRR26148857.variants.tsv	[('Other', 0.5581258363620196), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.2415006232657601), ('Omicron', 0.10859682757906149), ('XBB* (XBB.X)', 0.08578854249996996), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.005988011589286725)]	XBB.1-like(1) XBB.1.5-like(1) XBB.1.5.57 XBB.1.29 XBB.1.5.17 BA.2.65 XBB.1.5.79 XBB.1.22-like BA.2.6 DT.2 XBB.1.27 XBB.1.17-like BQ.1.1.65 XBB.1.5.73 BQ.1.1-like XBB.1.5-like FL.24 FY.4-like XBB.1.24-like XBB.1.5.51 BA.2.23	0.33719163 0.15169984 0.12339390 0.06510989 0.06451610 0.04580145 0.03954800 0.02797341 0.02541169 0.02084971 0.02067865 0.01834859 0.01574799 0.01300635 0.01242239 0.00761229 0.00598801 0.00175284 0.00112486 0.00103627 0.00078599	6.225195461841151	88.47941678092499
SRR26127755.variants.tsv	[('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.4887422034642139), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.39016275809604645), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.11640275788755836), ('XBB* (XBB.X)', 0.0007659579788177182)]	XBB.1.16.1 HK.7 FL.7 EG.6.1 HC.2 XBB.1.16.6 EG.2 XBB.1.5.73 XBB.1.16 XBB.1.16.5 XBB.1.16.10 FU.2 HN.1 XBB.1.16.19 GN.1.1 FU.4 XBB.1.16.20 FL.19.1 XBB.1.44.1 FL.2.3.1 FL.23 FT.1 FL.30 XBB.1.41.2 EK.2.1 FL.5.1 EG.2.3 EG.2.5 HK.6 FU.1 XBB.1.16.7 FL.3.1 XBB.1.4.2 FL.20 FE.1.2 FL.23.1 XBB.1.45.1 GK.1.1 FL.15 FL.9 HR.1 FD.1.1 FL.24	0.28871259 0.18264981 0.16456035 0.07603051 0.06520620 0.06497210 0.06245461 0.05001544 0.02684876 0.00601295 0.00109385 0.00100756 0.00088263 0.00067227 0.00047783 0.00029248 0.00026745 0.00021837 0.00021333 0.00021283 0.00021267 0.00019636 0.00018379 0.00017738 0.00017648 0.00017322 0.00016728 0.00014551 0.00014313 0.00014153 0.00014121 0.00013695 0.00013289 0.00012281 0.00012167 0.00012141 0.00012069 0.00011993 0.00011509 0.00011010 0.00010924 0.00010129 0.00010116	13.135985448001325	95.80309667926295
SRR26249457.variants.tsv	[('Other', 0.9999999999850895)]	Misc(1) BA.4.6.5-like	0.99497487 0.00502513	0.0660185232488264	2.655251981406548
